FeedbackID,VehicleID,Timestamp,RideComfortScore,HandlingScore,Comment
H0001,V028,2025-07-01 08:00:00,9.8,9.1,Noticeable noise from tires.
H0002,V050,2025-07-01 08:01:00,5.0,9.8,Great handling in wet conditions.
H0003,V040,2025-07-01 08:02:00,8.6,8.2,Noticeable noise from tires.
H0004,V065,2025-07-01 08:03:00,5.2,6.1,Great handling in wet conditions.
H0005,V010,2025-07-01 08:04:00,5.1,7.9,Great handling in wet conditions.
H0006,V031,2025-07-01 08:05:00,7.7,7.7,Handles well on rough terrain.
H0007,V039,2025-07-01 08:06:00,5.0,7.6,Handles well on rough terrain.
H0008,V077,2025-07-01 08:07:00,5.3,9.9,Smooth ride with slight vibrations.
H0009,V002,2025-07-01 08:08:00,5.4,9.3,Handles well on rough terrain.
H0010,V013,2025-07-01 08:09:00,9.3,6.0,Great handling in wet conditions.
H0011,V070,2025-07-01 08:10:00,9.1,6.9,Great handling in wet conditions.
H0012,V094,2025-07-01 08:11:00,7.0,7.8,Handles well on rough terrain.
H0013,V049,2025-07-01 08:12:00,6.1,7.8,Needs suspension tuning.
H0014,V040,2025-07-01 08:13:00,5.5,6.3,Cabin noise higher than expected.
H0015,V051,2025-07-01 08:14:00,5.3,5.2,Handles well on rough terrain.
H0016,V028,2025-07-01 08:15:00,7.9,9.1,Cabin noise higher than expected.
H0017,V075,2025-07-01 08:16:00,6.8,5.9,Cabin noise higher than expected.
H0018,V081,2025-07-01 08:17:00,7.7,5.2,Cabin noise higher than expected.
H0019,V076,2025-07-01 08:18:00,6.2,5.9,Smooth ride with slight vibrations.
H0020,V038,2025-07-01 08:19:00,9.2,5.0,Noticeable noise from tires.
H0021,V032,2025-07-01 08:20:00,5.4,9.1,Great handling in wet conditions.
H0022,V045,2025-07-01 08:21:00,7.6,9.7,Great handling in wet conditions.
H0023,V032,2025-07-01 08:22:00,7.3,6.7,Handles well on rough terrain.
H0024,V036,2025-07-01 08:23:00,8.0,6.0,Noticeable noise from tires.
H0025,V036,2025-07-01 08:24:00,7.7,7.4,Noticeable noise from tires.
H0026,V052,2025-07-01 08:25:00,5.3,9.0,Great handling in wet conditions.
H0027,V022,2025-07-01 08:26:00,9.1,9.9,Smooth ride with slight vibrations.
H0028,V011,2025-07-01 08:27:00,5.0,9.4,Cabin noise higher than expected.
H0029,V029,2025-07-01 08:28:00,6.4,6.6,Vibrations felt on steering wheel.
H0030,V023,2025-07-01 08:29:00,7.4,5.1,Cabin noise higher than expected.
H0031,V052,2025-07-01 08:30:00,8.3,5.7,Noticeable noise from tires.
H0032,V033,2025-07-01 08:31:00,6.1,9.7,Vibrations felt on steering wheel.
H0033,V019,2025-07-01 08:32:00,9.2,5.3,Vibrations felt on steering wheel.
H0034,V085,2025-07-01 08:33:00,7.6,5.2,Great handling in wet conditions.
H0035,V023,2025-07-01 08:34:00,6.0,6.2,Cabin noise higher than expected.
H0036,V010,2025-07-01 08:35:00,8.3,9.4,Noticeable noise from tires.
H0037,V025,2025-07-01 08:36:00,7.3,5.1,Smooth ride with slight vibrations.
H0038,V070,2025-07-01 08:37:00,8.5,6.2,Needs suspension tuning.
H0039,V082,2025-07-01 08:38:00,7.1,9.8,Smooth ride with slight vibrations.
H0040,V050,2025-07-01 08:39:00,7.4,9.0,Needs suspension tuning.
H0041,V010,2025-07-01 08:40:00,8.5,8.8,Smooth ride with slight vibrations.
H0042,V057,2025-07-01 08:41:00,5.9,9.1,Smooth ride with slight vibrations.
H0043,V089,2025-07-01 08:42:00,6.6,5.8,Handles well on rough terrain.
H0044,V042,2025-07-01 08:43:00,6.9,6.5,Smooth ride with slight vibrations.
H0045,V060,2025-07-01 08:44:00,9.7,5.7,Great handling in wet conditions.
H0046,V028,2025-07-01 08:45:00,8.0,8.7,Vibrations felt on steering wheel.
H0047,V065,2025-07-01 08:46:00,7.3,5.9,Handles well on rough terrain.
H0048,V069,2025-07-01 08:47:00,6.9,6.2,Cabin noise higher than expected.
H0049,V074,2025-07-01 08:48:00,9.3,9.4,Comfortable and quiet.
H0050,V088,2025-07-01 08:49:00,9.8,9.5,Noticeable noise from tires.
H0051,V069,2025-07-01 08:50:00,5.1,5.1,Needs suspension tuning.
H0052,V047,2025-07-01 08:51:00,6.0,8.5,Comfortable and quiet.
H0053,V067,2025-07-01 08:52:00,9.0,7.1,Handles well on rough terrain.
H0054,V058,2025-07-01 08:53:00,9.8,9.7,Comfortable and quiet.
H0055,V085,2025-07-01 08:54:00,6.4,5.2,Cabin noise higher than expected.
H0056,V043,2025-07-01 08:55:00,6.3,9.5,Comfortable and quiet.
H0057,V090,2025-07-01 08:56:00,6.1,10.0,Smooth ride with slight vibrations.
H0058,V091,2025-07-01 08:57:00,7.5,8.6,Vibrations felt on steering wheel.
H0059,V018,2025-07-01 08:58:00,5.8,8.1,Handles well on rough terrain.
H0060,V099,2025-07-01 08:59:00,9.1,5.7,Comfortable and quiet.
H0061,V093,2025-07-01 09:00:00,5.7,9.5,Comfortable and quiet.
H0062,V069,2025-07-01 09:01:00,7.7,8.3,Great handling in wet conditions.
H0063,V046,2025-07-01 09:02:00,9.4,8.4,Smooth ride with slight vibrations.
H0064,V020,2025-07-01 09:03:00,7.7,5.3,Needs suspension tuning.
H0065,V021,2025-07-01 09:04:00,5.0,9.7,Noticeable noise from tires.
H0066,V094,2025-07-01 09:05:00,9.8,6.4,Needs suspension tuning.
H0067,V021,2025-07-01 09:06:00,5.8,7.2,Vibrations felt on steering wheel.
H0068,V049,2025-07-01 09:07:00,5.2,8.6,Cabin noise higher than expected.
H0069,V058,2025-07-01 09:08:00,7.7,5.9,Needs suspension tuning.
H0070,V024,2025-07-01 09:09:00,7.3,8.5,Vibrations felt on steering wheel.
H0071,V098,2025-07-01 09:10:00,5.1,6.7,Noticeable noise from tires.
H0072,V023,2025-07-01 09:11:00,6.2,5.3,Vibrations felt on steering wheel.
H0073,V083,2025-07-01 09:12:00,7.5,7.5,Comfortable and quiet.
H0074,V078,2025-07-01 09:13:00,7.1,7.5,Vibrations felt on steering wheel.
H0075,V071,2025-07-01 09:14:00,5.1,7.4,Cabin noise higher than expected.
H0076,V086,2025-07-01 09:15:00,8.0,7.0,Noticeable noise from tires.
H0077,V043,2025-07-01 09:16:00,8.2,10.0,Great handling in wet conditions.
H0078,V092,2025-07-01 09:17:00,7.7,6.5,Vibrations felt on steering wheel.
H0079,V066,2025-07-01 09:18:00,5.6,7.0,Great handling in wet conditions.
H0080,V092,2025-07-01 09:19:00,5.6,5.1,Handles well on rough terrain.
H0081,V015,2025-07-01 09:20:00,9.6,8.4,Handles well on rough terrain.
H0082,V024,2025-07-01 09:21:00,6.1,9.0,Comfortable and quiet.
H0083,V068,2025-07-01 09:22:00,5.3,8.8,Cabin noise higher than expected.
H0084,V033,2025-07-01 09:23:00,8.6,9.7,Smooth ride with slight vibrations.
H0085,V023,2025-07-01 09:24:00,7.5,8.3,Needs suspension tuning.
H0086,V036,2025-07-01 09:25:00,9.9,7.4,Great handling in wet conditions.
H0087,V020,2025-07-01 09:26:00,5.6,5.4,Comfortable and quiet.
H0088,V019,2025-07-01 09:27:00,5.5,6.1,Noticeable noise from tires.
H0089,V050,2025-07-01 09:28:00,7.9,10.0,Vibrations felt on steering wheel.
H0090,V098,2025-07-01 09:29:00,6.8,9.4,Cabin noise higher than expected.
H0091,V061,2025-07-01 09:30:00,8.6,5.2,Comfortable and quiet.
H0092,V077,2025-07-01 09:31:00,6.0,8.9,Needs suspension tuning.
H0093,V068,2025-07-01 09:32:00,6.0,6.3,Noticeable noise from tires.
H0094,V072,2025-07-01 09:33:00,6.6,10.0,Handles well on rough terrain.
H0095,V034,2025-07-01 09:34:00,9.2,5.2,Comfortable and quiet.
H0096,V076,2025-07-01 09:35:00,9.1,7.9,Smooth ride with slight vibrations.
H0097,V066,2025-07-01 09:36:00,7.4,8.2,Smooth ride with slight vibrations.
H0098,V070,2025-07-01 09:37:00,7.7,9.2,Smooth ride with slight vibrations.
H0099,V040,2025-07-01 09:38:00,7.0,7.7,Handles well on rough terrain.
H0100,V063,2025-07-01 09:39:00,8.4,8.9,Needs suspension tuning.
H0101,V100,2025-07-01 09:40:00,7.3,8.2,Comfortable and quiet.
H0102,V098,2025-07-01 09:41:00,9.7,5.9,Handles well on rough terrain.
H0103,V018,2025-07-01 09:42:00,6.5,5.2,Comfortable and quiet.
H0104,V097,2025-07-01 09:43:00,6.4,7.9,Comfortable and quiet.
H0105,V085,2025-07-01 09:44:00,9.5,7.7,Comfortable and quiet.
H0106,V090,2025-07-01 09:45:00,5.5,5.7,Cabin noise higher than expected.
H0107,V046,2025-07-01 09:46:00,7.8,7.7,Great handling in wet conditions.
H0108,V085,2025-07-01 09:47:00,9.8,6.3,Vibrations felt on steering wheel.
H0109,V010,2025-07-01 09:48:00,7.3,8.4,Smooth ride with slight vibrations.
H0110,V060,2025-07-01 09:49:00,9.2,6.9,Needs suspension tuning.
H0111,V095,2025-07-01 09:50:00,8.8,5.5,Needs suspension tuning.
H0112,V003,2025-07-01 09:51:00,6.4,9.0,Vibrations felt on steering wheel.
H0113,V084,2025-07-01 09:52:00,6.4,9.8,Smooth ride with slight vibrations.
H0114,V050,2025-07-01 09:53:00,7.7,9.1,Needs suspension tuning.
H0115,V006,2025-07-01 09:54:00,8.7,6.2,Cabin noise higher than expected.
H0116,V083,2025-07-01 09:55:00,7.2,7.5,Vibrations felt on steering wheel.
H0117,V012,2025-07-01 09:56:00,8.2,5.8,Comfortable and quiet.
H0118,V003,2025-07-01 09:57:00,7.5,7.9,Comfortable and quiet.
H0119,V087,2025-07-01 09:58:00,7.5,7.3,Comfortable and quiet.
H0120,V035,2025-07-01 09:59:00,7.4,10.0,Comfortable and quiet.
H0121,V045,2025-07-01 10:00:00,9.1,8.9,Great handling in wet conditions.
H0122,V093,2025-07-01 10:01:00,6.6,5.9,Great handling in wet conditions.
H0123,V008,2025-07-01 10:02:00,5.7,6.7,Vibrations felt on steering wheel.
H0124,V056,2025-07-01 10:03:00,9.1,10.0,Handles well on rough terrain.
H0125,V070,2025-07-01 10:04:00,6.5,5.9,Vibrations felt on steering wheel.
H0126,V072,2025-07-01 10:05:00,7.7,7.7,Great handling in wet conditions.
H0127,V071,2025-07-01 10:06:00,8.7,6.3,Needs suspension tuning.
H0128,V069,2025-07-01 10:07:00,7.7,6.6,Noticeable noise from tires.
H0129,V054,2025-07-01 10:08:00,5.7,5.6,Cabin noise higher than expected.
H0130,V091,2025-07-01 10:09:00,8.1,7.2,Handles well on rough terrain.
H0131,V039,2025-07-01 10:10:00,5.2,7.2,Needs suspension tuning.
H0132,V054,2025-07-01 10:11:00,7.3,9.2,Handles well on rough terrain.
H0133,V061,2025-07-01 10:12:00,5.8,6.4,Comfortable and quiet.
H0134,V009,2025-07-01 10:13:00,5.4,5.0,Vibrations felt on steering wheel.
H0135,V065,2025-07-01 10:14:00,7.7,6.8,Comfortable and quiet.
H0136,V037,2025-07-01 10:15:00,6.1,7.0,Cabin noise higher than expected.
H0137,V077,2025-07-01 10:16:00,9.6,5.7,Needs suspension tuning.
H0138,V088,2025-07-01 10:17:00,8.8,9.2,Comfortable and quiet.
H0139,V039,2025-07-01 10:18:00,6.6,5.9,Comfortable and quiet.
H0140,V019,2025-07-01 10:19:00,5.8,9.0,Handles well on rough terrain.
H0141,V016,2025-07-01 10:20:00,7.8,5.2,Cabin noise higher than expected.
H0142,V029,2025-07-01 10:21:00,5.3,9.1,Needs suspension tuning.
H0143,V001,2025-07-01 10:22:00,9.7,5.2,Comfortable and quiet.
H0144,V060,2025-07-01 10:23:00,7.0,6.3,Great handling in wet conditions.
H0145,V075,2025-07-01 10:24:00,5.4,9.4,Smooth ride with slight vibrations.
H0146,V092,2025-07-01 10:25:00,6.9,9.7,Great handling in wet conditions.
H0147,V044,2025-07-01 10:26:00,5.6,7.9,Needs suspension tuning.
H0148,V052,2025-07-01 10:27:00,5.2,5.9,Handles well on rough terrain.
H0149,V018,2025-07-01 10:28:00,8.4,8.2,Handles well on rough terrain.
H0150,V068,2025-07-01 10:29:00,9.8,8.9,Smooth ride with slight vibrations.
H0151,V025,2025-07-01 10:30:00,7.4,9.6,Comfortable and quiet.
H0152,V054,2025-07-01 10:31:00,6.7,9.8,Cabin noise higher than expected.
H0153,V066,2025-07-01 10:32:00,8.4,7.6,Vibrations felt on steering wheel.
H0154,V061,2025-07-01 10:33:00,8.2,8.1,Great handling in wet conditions.
H0155,V010,2025-07-01 10:34:00,8.4,6.2,Comfortable and quiet.
H0156,V089,2025-07-01 10:35:00,5.8,5.2,Smooth ride with slight vibrations.
H0157,V085,2025-07-01 10:36:00,7.7,5.9,Cabin noise higher than expected.
H0158,V059,2025-07-01 10:37:00,8.1,9.1,Smooth ride with slight vibrations.
H0159,V042,2025-07-01 10:38:00,8.3,9.0,Vibrations felt on steering wheel.
H0160,V055,2025-07-01 10:39:00,8.7,9.4,Comfortable and quiet.
H0161,V066,2025-07-01 10:40:00,9.1,8.9,Needs suspension tuning.
H0162,V001,2025-07-01 10:41:00,5.1,9.1,Smooth ride with slight vibrations.
H0163,V079,2025-07-01 10:42:00,9.1,6.5,Noticeable noise from tires.
H0164,V021,2025-07-01 10:43:00,8.6,10.0,Handles well on rough terrain.
H0165,V092,2025-07-01 10:44:00,7.6,6.3,Noticeable noise from tires.
H0166,V025,2025-07-01 10:45:00,8.5,6.6,Noticeable noise from tires.
H0167,V040,2025-07-01 10:46:00,6.5,9.3,Comfortable and quiet.
H0168,V076,2025-07-01 10:47:00,7.6,6.5,Noticeable noise from tires.
H0169,V019,2025-07-01 10:48:00,10.0,7.3,Cabin noise higher than expected.
H0170,V082,2025-07-01 10:49:00,9.3,8.9,Great handling in wet conditions.
H0171,V055,2025-07-01 10:50:00,9.7,9.6,Great handling in wet conditions.
H0172,V026,2025-07-01 10:51:00,7.5,6.6,Great handling in wet conditions.
H0173,V087,2025-07-01 10:52:00,6.4,7.9,Cabin noise higher than expected.
H0174,V048,2025-07-01 10:53:00,9.9,8.4,Great handling in wet conditions.
H0175,V021,2025-07-01 10:54:00,6.5,6.1,Noticeable noise from tires.
H0176,V030,2025-07-01 10:55:00,8.4,9.0,Great handling in wet conditions.
H0177,V039,2025-07-01 10:56:00,8.3,9.1,Handles well on rough terrain.
H0178,V060,2025-07-01 10:57:00,9.0,8.7,Vibrations felt on steering wheel.
H0179,V052,2025-07-01 10:58:00,6.7,5.2,Needs suspension tuning.
H0180,V056,2025-07-01 10:59:00,9.5,6.5,Handles well on rough terrain.
H0181,V050,2025-07-01 11:00:00,6.9,6.4,Great handling in wet conditions.
H0182,V059,2025-07-01 11:01:00,7.0,9.6,Comfortable and quiet.
H0183,V085,2025-07-01 11:02:00,5.8,7.2,Needs suspension tuning.
H0184,V090,2025-07-01 11:03:00,5.3,5.6,Needs suspension tuning.
H0185,V074,2025-07-01 11:04:00,6.4,5.9,Smooth ride with slight vibrations.
H0186,V048,2025-07-01 11:05:00,5.7,5.2,Cabin noise higher than expected.
H0187,V052,2025-07-01 11:06:00,7.4,5.1,Noticeable noise from tires.
H0188,V080,2025-07-01 11:07:00,8.7,9.3,Needs suspension tuning.
H0189,V022,2025-07-01 11:08:00,5.3,5.8,Needs suspension tuning.
H0190,V096,2025-07-01 11:09:00,6.9,7.3,Vibrations felt on steering wheel.
H0191,V003,2025-07-01 11:10:00,5.4,7.2,Noticeable noise from tires.
H0192,V008,2025-07-01 11:11:00,10.0,8.9,Cabin noise higher than expected.
H0193,V098,2025-07-01 11:12:00,8.5,6.8,Great handling in wet conditions.
H0194,V028,2025-07-01 11:13:00,5.9,8.3,Comfortable and quiet.
H0195,V001,2025-07-01 11:14:00,5.8,8.2,Needs suspension tuning.
H0196,V042,2025-07-01 11:15:00,8.3,5.1,Vibrations felt on steering wheel.
H0197,V071,2025-07-01 11:16:00,7.7,5.5,Handles well on rough terrain.
H0198,V095,2025-07-01 11:17:00,7.3,7.3,Cabin noise higher than expected.
H0199,V051,2025-07-01 11:18:00,8.6,6.5,Smooth ride with slight vibrations.
H0200,V073,2025-07-01 11:19:00,6.3,7.0,Noticeable noise from tires.
H0201,V065,2025-07-01 11:20:00,5.4,7.2,Cabin noise higher than expected.
H0202,V055,2025-07-01 11:21:00,8.3,5.2,Great handling in wet conditions.
H0203,V033,2025-07-01 11:22:00,5.6,7.2,Handles well on rough terrain.
H0204,V085,2025-07-01 11:23:00,5.0,5.7,Cabin noise higher than expected.
H0205,V056,2025-07-01 11:24:00,7.8,7.5,Comfortable and quiet.
H0206,V039,2025-07-01 11:25:00,8.5,7.6,Handles well on rough terrain.
H0207,V055,2025-07-01 11:26:00,5.6,8.6,Cabin noise higher than expected.
H0208,V042,2025-07-01 11:27:00,5.4,9.9,Needs suspension tuning.
H0209,V047,2025-07-01 11:28:00,4.0,7.5,Comfortable and quiet.
H0210,V067,2025-07-01 11:29:00,7.1,6.3,Smooth ride with slight vibrations.
H0211,V057,2025-07-01 11:30:00,6.3,8.6,Noticeable noise from tires.
H0212,V034,2025-07-01 11:31:00,6.6,5.5,Vibrations felt on steering wheel.
H0213,V022,2025-07-01 11:32:00,7.4,6.3,Needs suspension tuning.
H0214,V010,2025-07-01 11:33:00,5.2,5.9,Handles well on rough terrain.
H0215,V081,2025-07-01 11:34:00,5.7,5.5,Vibrations felt on steering wheel.
H0216,V055,2025-07-01 11:35:00,7.3,9.5,Needs suspension tuning.
H0217,V056,2025-07-01 11:36:00,6.6,5.8,Great handling in wet conditions.
H0218,V087,2025-07-01 11:37:00,5.8,5.1,Vibrations felt on steering wheel.
H0219,V058,2025-07-01 11:38:00,6.9,8.4,Cabin noise higher than expected.
H0220,V079,2025-07-01 11:39:00,8.8,9.5,Smooth ride with slight vibrations.
H0221,V004,2025-07-01 11:40:00,6.1,6.9,Cabin noise higher than expected.
H0222,V092,2025-07-01 11:41:00,10.0,8.7,Needs suspension tuning.
H0223,V040,2025-07-01 11:42:00,6.5,10.0,Needs suspension tuning.
H0224,V052,2025-07-01 11:43:00,7.5,5.6,Noticeable noise from tires.
H0225,V085,2025-07-01 11:44:00,7.7,6.7,Handles well on rough terrain.
H0226,V025,2025-07-01 11:45:00,5.7,7.6,Great handling in wet conditions.
